id;user_id;news_id;comment_id;comment;created;likes_cnt;dislikes_cnt;needs_mod
42;296;97;;diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta;2015-07-16 15:28:00;164;63;0
43;5;749;;in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat;2017-02-17 03:19:00;125;33;0
44;227;555;;aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras;2017-12-08 11:45:00;108;35;0
45;261;27;;non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue;2016-12-13 16:14:00;170;47;0
47;242;164;;ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras;2015-02-25 12:45:00;112;196;0
61;88;598;;sem fusce consequat nulla;2016-01-02 15:23:00;99;37;0
62;62;699;;pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet;2015-05-10 18:51:00;198;63;0
64;171;196;;ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl;2015-08-11 03:02:00;115;121;0
65;178;591;;velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper;2017-07-11 03:04:00;51;124;0
66;38;445;;at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit;2016-08-01 12:59:00;42;87;0
68;291;198;;eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam;2017-12-06 18:33:00;83;87;0
70;206;895;16;ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam;2016-06-17 10:37:00;191;9;0
71;151;445;66;id ornare imperdiet sapien urna;2017-12-18 22:52:00;65;10;0
72;51;493;15;tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis;2015-08-13 20:44:00;7;2;0
75;52;617;;sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae;2016-05-30 13:07:00;193;103;0
78;51;182;;et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at;2015-12-12 21:36:00;175;22;0
80;52;724;;dis parturient montes nascetur ridiculus mus etiam vel augue;2015-02-25 03:10:00;147;4;0
81;300;251;;suscipit ligula in lacus curabitur at ipsum ac tellus;2017-05-23 00:44:00;26;141;1
83;300;441;;magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet;2015-12-16 22:16:00;40;188;0
85;225;182;78;ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac;2016-11-23 18:00:00;142;129;0
86;260;906;;vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero;2017-11-14 07:34:00;49;57;0
88;97;700;;vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis;2016-03-31 22:33:00;98;51;0
89;148;335;;pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras;2016-01-02 19:09:00;73;69;0
90;233;104;24;duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum;2017-11-01 05:59:00;134;5;0
95;191;91;;turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui;2017-05-11 02:29:00;88;88;0
96;246;275;;lorem quisque ut erat curabitur;2017-11-30 12:28:00;137;127;0
98;274;413;;erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim;2016-11-26 12:59:00;180;51;0
99;82;329;;erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor;2017-01-14 11:04:00;1;130;0
100;84;405;;dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem;2017-05-25 06:22:00;59;34;0
101;149;326;;id ornare imperdiet sapien urna pretium nisl ut;2017-11-02 12:28:00;56;143;0
103;72;566;;nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor;2017-03-21 01:48:00;26;151;0
108;90;545;;sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est;2018-01-06 08:16:00;137;185;1
109;121;636;;donec posuere metus vitae ipsum aliquam non mauris;2017-07-13 23:13:00;146;134;0
110;164;915;;cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus;2016-07-06 12:21:00;135;57;0
113;129;780;;ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem;2016-06-14 21:17:00;160;70;0
117;168;728;;nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue;2016-06-28 01:32:00;45;95;0
120;185;297;;ultrices phasellus id sapien in sapien iaculis congue vivamus metus;2015-06-22 17:54:00;150;136;0
122;277;49;;massa volutpat convallis morbi odio odio elementum;2017-08-22 21:05:00;135;120;0
123;77;604;;rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis;2016-05-08 18:06:00;134;160;0
128;35;617;75;venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus;2018-01-01 11:25:00;187;119;0
132;294;899;;pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et;2017-05-06 18:17:00;25;179;0
134;213;27;45;platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat;2017-12-27 12:00:00;18;74;0
136;101;267;;nec condimentum neque sapien placerat ante nulla justo aliquam quis;2017-04-27 19:45:00;35;79;0
138;207;822;;sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus;2017-07-31 09:16:00;79;172;0
139;105;441;;mi in porttitor pede justo eu;2015-04-16 00:18:00;195;41;0
140;65;835;;dolor sit amet consectetuer adipiscing elit proin;2018-01-14 01:33:00;95;97;0
142;70;170;;dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit;2016-03-16 01:57:00;91;141;0
143;73;525;;ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet;2017-03-01 18:24:00;108;183;0
145;105;638;;sagittis nam congue risus;2018-01-14 16:45:00;64;111;0
150;300;507;;sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis;2016-01-22 10:01:00;12;116;0
152;88;896;;duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis;2016-09-07 22:30:00;141;173;0
153;161;720;;massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut;2017-11-14 17:14:00;16;35;0
155;177;413;98;elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi;2017-02-19 01:03:00;181;52;0
158;264;141;;ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse;2015-05-05 05:33:00;182;87;0
159;255;163;;maecenas rhoncus aliquam lacus morbi quis tortor id;2017-03-30 02:29:00;145;124;0
160;276;409;;eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac;2018-01-12 02:18:00;114;2;0
161;285;324;;nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis;2017-05-17 05:40:00;18;42;0
162;176;175;;at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero;2017-12-02 09:18:00;0;68;1
165;92;630;;molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus;2017-10-28 14:04:00;32;101;0
167;200;394;;condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet;2016-11-22 06:28:00;90;116;0
168;283;560;;eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in;2015-10-02 04:44:00;35;107;0
169;5;690;;platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante;2015-03-08 08:40:00;160;193;0
170;217;883;;platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget;2015-09-08 11:22:00;172;110;0
171;252;413;155;proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio;2016-12-15 06:25:00;100;163;0
174;103;466;;ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue;2016-08-22 09:42:00;48;91;0
177;11;148;;nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim;2017-02-16 14:04:00;40;189;0
179;181;643;;nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere;2016-10-17 22:45:00;37;73;0
181;252;320;;ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae;2016-03-13 05:30:00;106;80;0
184;4;883;;donec semper sapien a libero nam;2017-01-12 06:51:00;1;5;0
185;108;513;;in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu;2018-01-31 06:07:00;187;109;0
186;117;108;;lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in;2016-04-27 10:30:00;18;149;0
188;221;591;;massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit;2018-01-03 12:45:00;79;51;0
192;213;914;;aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor;2016-04-20 17:13:00;184;86;0
193;94;477;;feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam;2017-03-15 01:39:00;122;54;0
197;197;396;;et commodo vulputate justo in blandit ultrices enim lorem ipsum;2016-12-30 18:11:00;133;95;0
198;33;31;;eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum;2017-08-29 07:15:00;80;14;0
199;161;883;170;morbi a ipsum integer a nibh in;2016-03-26 07:07:00;186;181;0
201;30;901;;eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum;2017-03-21 16:13:00;16;31;0
205;39;18;;rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat;2015-11-27 14:08:00;81;170;0
206;32;419;26;phasellus id sapien;2017-03-11 19:15:00;193;148;0
207;171;313;;felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero;2016-02-05 21:03:00;30;56;0
209;13;238;;justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis;2015-09-03 12:12:00;199;184;0
210;250;235;;ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo;2015-10-06 01:19:00;6;157;0
211;250;721;;faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam;2016-09-03 10:39:00;79;185;0
212;7;267;;diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia;2015-11-24 21:18:00;36;186;0
213;151;627;;posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis;2015-09-16 19:45:00;83;186;0
214;290;360;;purus phasellus in felis donec semper sapien;2015-11-03 11:11:00;175;78;0
215;288;250;;quam sapien varius ut blandit non interdum in ante vestibulum;2016-04-07 22:52:00;165;38;0
218;87;249;;erat eros viverra eget congue eget;2015-08-22 09:44:00;137;42;0
219;294;815;;posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo;2016-10-02 08:13:00;84;21;0
220;2;132;;urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum;2015-11-28 03:29:00;139;125;0
221;115;473;;erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac;2016-01-06 17:43:00;120;97;0
222;118;60;37;at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia;2015-07-12 14:46:00;139;82;0
223;262;654;;vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin;2017-07-12 10:49:00;20;101;0
225;1;210;;euismod scelerisque quam turpis;2018-01-08 04:21:00;32;3;0
227;120;199;;amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum;2017-06-12 01:03:00;176;80;0
228;252;709;;vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet;2015-11-28 11:22:00;43;150;0
229;35;528;;turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum;2017-09-01 23:16:00;20;6;0
230;252;913;;mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at;2015-11-27 03:08:00;80;8;0
232;136;685;;vulputate elementum nullam varius nulla facilisi cras non velit;2015-11-06 11:56:00;66;105;0
235;180;544;;nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum;2016-12-14 21:35:00;6;176;0
237;195;541;;mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris;2017-01-16 19:19:00;163;0;0
238;64;318;;in lacus curabitur at ipsum;2015-09-21 00:45:00;157;59;0
239;240;99;;aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula;2017-06-04 23:21:00;181;147;0
240;44;111;;leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et;2017-09-18 07:51:00;47;107;0
241;145;709;;amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus;2017-07-28 16:32:00;94;14;0
243;276;184;;phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc;2017-11-25 09:07:00;178;20;1
246;152;615;;cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus;2015-04-29 09:28:00;199;82;0
247;53;99;239;sit amet erat nulla tempus vivamus in felis eu sapien;2017-05-18 09:55:00;109;185;0
248;31;344;;luctus et ultrices posuere cubilia curae;2015-08-02 21:31:00;67;19;0
249;90;425;;ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea;2015-06-10 10:33:00;74;85;0
250;214;550;;sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl;2017-06-02 09:55:00;152;151;0
252;183;474;;erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum;2016-03-07 02:01:00;68;89;0
254;54;473;221;odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien;2016-08-17 00:38:00;117;174;0
255;239;396;;etiam pretium iaculis justo in hac;2015-09-11 12:42:00;8;117;0
256;161;763;;amet eros suspendisse accumsan tortor quis turpis;2017-10-03 01:05:00;114;169;0
257;254;465;;vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend;2015-03-02 14:32:00;39;40;0
258;10;652;;bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea;2016-05-02 01:19:00;2;130;0
259;19;187;;fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in;2016-11-20 21:04:00;15;87;0
261;191;244;;turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis;2016-04-03 18:12:00;96;189;0
